Image Path,Caption
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_14.jpg,a painting of a seagull on a white background
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_15.jpg,a painting of a bird sitting on a rock
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_16.jpg,a painting of a bird flying in the sky
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_3.jpg,a painting of two birds on a nest
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_4.jpg,a painting of a duck on a white background
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_5.jpg,a painting of a black duck standing on a rock
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_6.jpg,a painting of a black bird on the beach
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_7.jpg,a painting of a bird flying over the water
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_8.jpg,a painting of a bird sitting on the ground
./data/CUB-200-Painting/003.Sooty_Albatross/Sooty_Albatross_9.jpg,a painting of a black bird flying in the air
./data/CUB-200-Painting/004.Groove_billed_Ani/Groove_billed_Ani_0.jpg,a painting of a black bird sitting on a branch
./data/CUB-200-Painting/004.Groove_billed_Ani/Groove_billed_Ani_1.jpg,a painting of a bird on a branch
./data/CUB-200-Painting/004.Groove_billed_Ani/Groove_billed_Ani_10.jpg,a painting of two birds sitting on a branch
./data/CUB-200-Painting/004.Groove_billed_Ani/Groove_billed_Ani_2.jpg,a painting of a crow on a white background
./data/CUB-200-Painting/004.Groove_billed_Ani/Groove_billed_Ani_3.jpg,a painting of a black bird with blue feathers
./data/CUB-200-Painting/004.Groove_billed_Ani/Groove_billed_Ani_5.jpg,a painting of a bird with a large head
./data/CUB-200-Painting/004.Groove_billed_Ani/Groove_billed_Ani_6.jpg,a painting of a bird with a long tail
./data/CUB-200-Painting/004.Groove_billed_Ani/Groove_billed_Ani_7.jpg,a painting of an eagle with a bird on its head
./data/CUB-200-Painting/004.Groove_billed_Ani/Groove_billed_Ani_8.jpg,a painting of a black parrot sitting on a branch
./data/CUB-200-Painting/004.Groove_billed_Ani/Groove_billed_Ani_9.jpg,a painting of a bird with a black and yellow beak
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_0.jpg,a painting of a pair of quails stationery cards
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_1.jpg,a painting of two black birds sitting on a rock
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_10.jpg,a painting of a penguin sitting on a rock
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_11.jpg,a painting of a bird with a long beak
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_12.jpg,a painting of a bird with a big head and a big beak
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_13.jpg,a painting of a black bird with orange beak
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_2.jpg,a painting of a bird with a black head and a white body
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_3.jpg,a painting of a black bird with orange beak
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_4.jpg,a painting of a duck in the water
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_5.jpg,a painting of a bird with a mohawk on its head
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_6.jpg,a painting of a bird sitting on a rock
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_7.jpg,a painting of a bird with a long beak and a long neck
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_8.jpg,a painting of a black bird with orange beak
./data/CUB-200-Painting/005.Crested_Auklet/Crested_Auklet_9.jpg,a painting of a bird with a long beak
./data/CUB-200-Painting/006.Least_Auklet/Least_Auklet_0.jpg,a painting of a bird on a rock
./data/CUB-200-Painting/006.Least_Auklet/Least_Auklet_2.jpg,a painting of different birds and their names
./data/CUB-200-Painting/006.Least_Auklet/Least_Auklet_3.jpg,a painting of penguins sitting on a rock
./data/CUB-200-Painting/006.Least_Auklet/Least_Auklet_4.jpg,a painting of a black and white bird
./data/CUB-200-Painting/006.Least_Auklet/Least_Auklet_5.jpg,a painting of ducks in the water
./data/CUB-200-Painting/006.Least_Auklet/Least_Auklet_6.jpg,a painting of a penguin sitting on the ground
./data/CUB-200-Painting/007.Parakeet_Auklet/Parakeet_Auklet_0.jpg,a painting of a penguin on a white background
./data/CUB-200-Painting/007.Parakeet_Auklet/Parakeet_Auklet_3.jpg,a painting of a bird sitting on a branch
./data/CUB-200-Painting/007.Parakeet_Auklet/Parakeet_Auklet_4.jpg,a painting of a penguin with orange beak
./data/CUB-200-Painting/007.Parakeet_Auklet/Parakeet_Auklet_5.jpg,a painting of a penguin sitting on a rock
./data/CUB-200-Painting/007.Parakeet_Auklet/Parakeet_Auklet_6.jpg,a painting of a penguin on a white background
./data/CUB-200-Painting/008.Rhinoceros_Auklet/Crested_Auklet_14.jpg,a painting of a bird with a white beak
./data/CUB-200-Painting/008.Rhinoceros_Auklet/Rhinoceros_Auklet_1.jpg,a painting of a puffin
./data/CUB-200-Painting/008.Rhinoceros_Auklet/Rhinoceros_Auklet_10.jpg,a painting of a black bird with red beak
./data/CUB-200-Painting/008.Rhinoceros_Auklet/Rhinoceros_Auklet_11.jpg,a painting of a puffin bird flying over water
./data/CUB-200-Painting/008.Rhinoceros_Auklet/Rhinoceros_Auklet_2.jpg,a painting of a bird with a white beak
./data/CUB-200-Painting/008.Rhinoceros_Auklet/Rhinoceros_Auklet_3.jpg,a painting of a bird with a white beak
./data/CUB-200-Painting/008.Rhinoceros_Auklet/Rhinoceros_Auklet_4.jpg,a painting of a duck sitting on the ground
./data/CUB-200-Painting/008.Rhinoceros_Auklet/Rhinoceros_Auklet_5.jpg,a painting of a black bird in the water
./data/CUB-200-Painting/008.Rhinoceros_Auklet/Rhinoceros_Auklet_6.jpg,a painting of a duck on a white background
./data/CUB-200-Painting/008.Rhinoceros_Auklet/Rhinoceros_Auklet_7.jpg,a painting of a bird with a swirl design
./data/CUB-200-Painting/008.Rhinoceros_Auklet/Rhinoceros_Auklet_8.jpg,a painting of a duck on water greeting card
./data/CUB-200-Painting/008.Rhinoceros_Auklet/Rhinoceros_Auklet_9.jpg,a painting of a bird with a white beak
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_0.jpg,a painting of three birds with different colors
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_1.jpg,a painting of a crow on a barbed wire fence
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_10.jpg,a painting of a black bird on a post
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_11.jpg,a painting of a green bird sitting on a fence
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_12.jpg,a painting of a bird with a black and blue color
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_13.jpg,a painting of a black bird with blue feathers
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_14.jpg,a painting of a black bird on a white background
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_2.jpg,a painting of a black bird with a yellow beak
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_3.jpg,a painting of a bird with colorful feathers
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_4.jpg,a painting of a bird with the parts labeled
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_5.jpg,a painting of a blue bird with black feathers
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_6.jpg,a painting of a bird with a black and white background
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_7.jpg,a painting of a black bird sitting on a wooden post
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_8.jpg,a painting of a blackbird with the words brewing blackbird
./data/CUB-200-Painting/009.Brewer_Blackbird/Brewer_Blackbird_9.jpg,a painting of a bird flying in the air
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_0.jpg,a painting of birds on a branch with flowers
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_1.jpg,a painting of a red winged blackbird
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_10.jpg,a painting of a red winged blackbird with a red wing
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_11.jpg,a painting of a red - winged blackbird with a red wing
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_12.jpg,a painting of birds with red and black feathers
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_13.jpg,a painting of a red winged blackbird on a branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_14.jpg,a painting of a red winged blackbird sitting on a branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_15.jpg,a painting of a red winged blackbird on a tree branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_16.jpg,a painting of a black bird with red wings
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_17.jpg,a painting of a bird with a red beak
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_18.jpg,a painting of a bird on a branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_19.jpg,a painting of a black bird sitting on a branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_2.jpg,a painting of a red winged blackbird
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_20.jpg,a painting of a red winged blackbird perched on a branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_21.jpg,a painting of a red winged blackbird
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_22.jpg,a painting of a red winged blackbird on a branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_23.jpg,a painting of a red - winged blackbird sitting on a piece of bread
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_24.jpg,a painting of a black bird with red wings
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_25.jpg,a painting of a red winged blackbird perched on a stick
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_26.jpg,a painting of a red winged blackbird
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_27.jpg,a painting of a red winged blackbird
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_28.jpg,a painting of a red winged blackbird flying
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_29.jpg,a painting of a bird sitting on a branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_3.jpg,a painting of a black bird with red and yellow feathers
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_30.jpg,a painting of a red winged blackbird on a branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_31.jpg,a painting of a black bird with red and white feathers
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_32.jpg,a painting of a red winged blackbird
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_33.jpg,a painting of a black bird with red and yellow feathers
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_34.jpg,a painting of a red - winged blackbird
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_35.jpg,a painting of a red winged black bird on a branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_36.jpg,a painting of a red winged blackbird on a branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_4.jpg,a painting of a red - winged blackbird
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_5.jpg,a painting of a bird with a red heart on its back
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_6.jpg,a painting of a black bird with red and yellow feathers
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_7.jpg,a painting of a red winged blackbird on a branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_8.jpg,a painting of a red winged blackbird on a branch
./data/CUB-200-Painting/010.Red_winged_Blackbird/Red_winged_Blackbird_9.jpg,a painting of a red winged blackbird on a branch
./data/CUB-200-Painting/011.Rusty_Blackbird/Rusty_Blackbird_0.jpg,a painting of a crow on a branch
./data/CUB-200-Painting/011.Rusty_Blackbird/Rusty_Blackbird_1.jpg,a painting of a bird sitting on a branch
./data/CUB-200-Painting/011.Rusty_Blackbird/Rusty_Blackbird_10.jpg,a painting of a bird sitting on a branch
./data/CUB-200-Painting/011.Rusty_Blackbird/Rusty_Blackbird_12.jpg,a painting of a bird sitting on a rock
./data/CUB-200-Painting/011.Rusty_Blackbird/Rusty_Blackbird_13.jpg,a painting of a crow on a burlock cloth
./data/CUB-200-Painting/011.Rusty_Blackbird/Rusty_Blackbird_15.jpg,a painting of a bird sitting on a branch
./data/CUB-200-Painting/011.Rusty_Blackbird/Rusty_Blackbird_2.jpg,a painting of a black bird sitting on a branch
./data/CUB-200-Painting/011.Rusty_Blackbird/Rusty_Blackbird_3.jpg,a painting of a black bird sitting on a branch
./data/CUB-200-Painting/011.Rusty_Blackbird/Rusty_Blackbird_6.jpg,a painting of a black bird with a purple background sticker
./data/CUB-200-Painting/011.Rusty_Blackbird/Rusty_Blackbird_7.jpg,a painting of a black bird sitting on a branch
./data/CUB-200-Painting/011.Rusty_Blackbird/Rusty_Blackbird_8.jpg,a painting of a bird sitting on a rock
./data/CUB-200-Painting/011.Rusty_Blackbird/Rusty_Blackbird_9.jpg,a painting of a bird sitting on a branch
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_1.jpg,a painting of a yellow bird sitting on a branch
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_10.jpg,a painting of a yellow bird sitting on a reed
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_11.jpg,a painting of two birds perched on a branch
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_12.jpg,a painting of a yellow and black bird
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_13.jpg,a painting of a yellow bird on a fence post
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_14.jpg,a painting of a yellow and black bird
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_15.jpg,a painting of a black and yellow bird taking off from a reed
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_16.jpg,a painting of a yellow bird on a branch
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_17.jpg,a painting of a yellow and black bird on a blue background
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_18.jpg,a painting of a yellow bird on a branch
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_19.jpg,a painting of a black and yellow bird on a reed
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_2.jpg,a painting of two birds sitting on a branch
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_20.jpg,a painting of a yellow head blackbird
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_21.jpg,a painting of a bird with yellow and black feathers
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_22.jpg,a painting of a black bird with yellow feathers
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_23.jpg,a painting of a black and yellow bird on a cattail
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_24.jpg,a painting of a yellow bird on a blue fence
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_25.jpg,a painting of two birds sitting on a branch
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_26.jpg,a painting of a yellow bird perched on a plant
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_27.jpg,a painting of a black and yellow bird
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_28.jpg,a painting of a bird with yellow feathers
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_29.jpg,a painting of a yellow bird on a branch
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_3.jpg,a painting of a yellow bird on a green plant
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_30.jpg,a painting of a yellow and black bird on a branch
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_31.jpg,a painting of a yellow bird with black feathers
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_32.jpg,a painting of a bird and a carrot
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_33.jpg,a painting of a yellow bird sitting on a branch
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_34.jpg,a painting of a bird sitting on top of some reeds
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_35.jpg,a painting of a yellow and black bird
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_36.jpg,a painting of a yellow bird on a branch shower curtain
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_4.jpg,a painting of a yellow and black bird
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_5.jpg,a painting of a yellow bird on a branch
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_6.jpg,a painting of a bird with yellow and black feathers
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_7.jpg,a painting of a yellow and black bird
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_8.jpg,a painting of a yellow and black bird
./data/CUB-200-Painting/012.Yellow_headed_Blackbird/Yellow_headed_Blackbird_9.jpg,a painting of a bird sitting on a branch
./data/CUB-200-Painting/013.Bobolink/Bobolink_0.jpg,a painting of a black and white bird flying in the sky
./data/CUB-200-Painting/013.Bobolink/Bobolink_1.jpg,a painting of a black and yellow bird on a branch
./data/CUB-200-Painting/013.Bobolink/Bobolink_10.jpg,a painting of a bird with black and yellow feathers
./data/CUB-200-Painting/013.Bobolink/Bobolink_11.jpg,a painting of a bird sitting on a plant
./data/CUB-200-Painting/013.Bobolink/Bobolink_12.jpg,a painting of a black bird on a branch tote bag
./data/CUB-200-Painting/013.Bobolink/Bobolink_13.jpg,a painting of a bird sitting on a branch
./data/CUB-200-Painting/013.Bobolink/Bobolink_14.jpg,a painting of a bird with yellow and black feathers
./data/CUB-200-Painting/013.Bobolink/Bobolink_15.jpg,a painting of a black bird on a branch
./data/CUB-200-Painting/013.Bobolink/Bobolink_16.jpg,a painting of a bird with a yellow head
./data/CUB-200-Painting/013.Bobolink/Bobolink_17.jpg,a painting of a bird sitting on a branch with flowers
./data/CUB-200-Painting/013.Bobolink/Bobolink_2.jpg,a painting of a black and white bird hanging from a string
./data/CUB-200-Painting/013.Bobolink/Bobolink_3.jpg,a painting of a black and white bird
./data/CUB-200-Painting/013.Bobolink/Bobolink_4.jpg,a painting of a black and yellow bird sitting on a tall grass
./data/CUB-200-Painting/013.Bobolink/Bobolink_5.jpg,a painting of a bird with yellow and black feathers
./data/CUB-200-Painting/013.Bobolink/Bobolink_6.jpg,a painting of birds and a drawing of a bird
./data/CUB-200-Painting/013.Bobolink/Bobolink_7.jpg,a painting of a black and yellow bird on a branch
./data/CUB-200-Painting/013.Bobolink/Bobolink_8.jpg,a painting of a bird on a branch greeting card
./data/CUB-200-Painting/013.Bobolink/Bobolink_9.jpg,a painting of a black and yellow bird on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_0.jpg,a painting of two blue birds sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_1.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_10.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_11.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_12.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_13.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_14.jpg,a painting of a blue bird on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_15.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_16.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_17.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_18.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_19.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_2.jpg,a painting of a blue bird on a white background
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_20.jpg,a painting of a blue bird on a piece of paper
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_22.jpg,a painting of a blue bird on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_23.jpg,a painting of a blue bird on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_25.jpg,a painting of a blue bird on a gray background
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_26.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_4.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_5.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_6.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_7.jpg,a painting of a bird with blue and red feathers
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_8.jpg,a painting of a blue bird on a white background
./data/CUB-200-Painting/014.Indigo_Bunting/Indigo_Bunting_9.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/015.Lazuli_Bunting/Lazuli_Bunting_0.jpg,a painting of a blue bird sitting on a branch
./data/CUB-200-Painting/015.Lazuli_Bunting/Lazuli_Bunting_10.jpg,a painting of a blue bird perched on a branch
./data/CUB-200-Painting/015.Lazuli_Bunting/Lazuli_Bunting_11.jpg,a painting of a blue bird with multicolored feathers
./data/CUB-200-Painting/015.Lazuli_Bunting/Lazuli_Bunting_12.jpg,a painting of a blue bird on a branch
./data/CUB-200-Painting/015.Lazuli_Bunting/Lazuli_Bunting_13.jpg,a painting of a blue and red bird on a branch
./data/CUB-200-Painting/015.Lazuli_Bunting/Lazuli_Bunting_14.jpg,a painting of a blue bird sitting on a branch
